Play_ID,Play_Type,Personnel,Quarter,Play_Clock,Down,Distance,Hash,Field_Position,Gain_Loss,Touchdown,Penalty,Penalty_Type,Result
Load F 23 Lincoln Bat,Counter,11,1,14:24,1,10,L,-14,3,No,No,,Rush
Load I Z-In 47 Z Raft,Play Action Pass,11,1,14:09,2,7,L,-17,8,No,No,,Completed Pass
Rock Buzz 41 Cap Z Stab,RPO,11,1,13:22,1,10,R,-25,0,No,No,,Incomplete Pass
FIB Rich 44 Visor,Visor,11,1,13:00,2,10,R,-25,13,No,No,,Rush
List 41 Arc,Option,11,1,12:41,1,10,L,-38,5,No,No,,QB Keep
Rain Weak Anvil 42 A Raft,Play Action Pass,12,1,12:07,2,5,R,-43,9,No,No,,QB Keep
Rich F Y-Cross Flip 40 Bat,Inside Zone,11,1,11:24,1,10,L,48,17,No,No,,Rush
Link 53 Seminole,Pass,11,1,10:39,1,10,L,31,5,No,No,,Completed Pass
FIB Roy A-Bluff 23 Lincoln Q B Cap,QB Counter,10,1,9:40,2,5,L,26,-10,No,Yes,Holding,Rush
Lake Strong Pez 43 Paddle,Play Action Pass,12,1,9:11,2,15,L,36,0,No,No,,Incomplete Pass
Link Flex 11 Needle Y OK,Pass,10,1,8:52,3,15,L,36,4,No,No,,QB Scramble
List 40 Visor,Visor,11,1,4:46,1,10,R,41,23,No,No,,Rush
Gold (Rock 41 Cap),Inside Zone,11,1,4:23,1,10,L,18,3,No,No,,Rush
Rio Y-Drift 41 Bat,Inside Zone,11,1,3:53,2,7,L,15,1,No,No,,Rush
Paramus Left 40 Deuce,Inside Zone,12,1,3:23,3,6,L,14,0,No,No,,Rush
Roy Anvil 22 Lincoln Tax,Sweep,11,2,14:03,1,10,R,-11,15,No,No,,Rush
Load F Pez 41 Pepper Stay Paddle,Play Action Pass,11,2,13:44,1,10,L,-26,0,No,No,,Incomplete Pass
Rifle Aux 40 Arc,Option,11,2,13:15,2,10,L,-26,-5,No,Yes,Holding,QB Keep
Lou Dice 46,Outside Zone,11,2,13:05,2,15,L,-21,-1,No,No,,Rush
Lou A-Orb Branch North,RB Screen,10,2,12:29,3,16,R,-20,-5,No,Yes,Offsides,No Play
Rich 41 Cap,Inside Zone,11,2,12:29,3,21,R,-15,3,No,No,,Rush
FIB Lou Rack X-Orb Thor B Lead,Draw,10,2,8:55,1,10,R,36,-10,No,Yes,Holding,Completed Pass
Load F 23 Lincoln Beats A Strong,Play Action Pass,11,2,8:47,1,20,L,46,0,No,No,,Incomplete Pass
Lou Y-Over 10 Sword,Pass,11,2,8:29,2,20,L,46,18,No,No,,Completed Pass
Gold (Rock 41 Cap),Inside Zone,11,2,8:07,3,2,R,28,4,No,No,,Rush
List Tite 40 Deuce X Safe,RPO,12,2,7:50,1,10,R,24,3,No,No,,Rush
Load Rope 11 A Choice,Pass,11,2,7:09,2,7,R,21,4,No,No,,Completed Pass
Gold (Rock 41 Cap),Inside Zone,11,2,6:25,3,3,R,17,0,No,No,,QB Keep
Rock A-Bluff 40 Bat Edge,Inside Zone,11,2,6:07,4,3,R,17,3,No,No,,Rush
Laser Aux 41 Visor Pepper A Pig Z Key,Play Action Pass,11,2,5:31,1,10,R,14,-5,No,Yes,Illegal Man Downfield,Completed Pass
Load 40 Cap,Inside Zone,11,2,4:54,2,15,R,-19,19,Yes,No,,Rush
List 41 Bat,Inside Zone,11,2,2:11,1,10,R,-37,3,No,No,,Rush
Rich 44 Visor,Visor,11,2,2:00,2,7,R,-40,4,No,No,,Rush
List 23,Counter,11,2,1:45,3,3,R,-44,3,No,No,,Rush
Bell,Pass,11,2,1:17,1,10,L,-47,0,No,No,,Incomplete Pass
Load Bulky North Hoho,Throwback Pass,11,2,:58,2,10,L,-47,-3,No,No,,Completed Pass
Load 40 Cap,Inside Zone,11,2,:35,3,13,L,-44,8,No,No,,Rush
Rich 23 Lincoln Tax,Sweep,11,3,13:18,1,10,L,-37,7,No,No,,Rush
FIB Lou A-Bluff 22 Lincoln Q B Cap,QB Counter,10,3,12:57,2,3,R,-44,7,No,No,,Rush
Rock I Z-In 42 Z Raft,Play Action Pass,11,3,12:20,1,10,R,49,22,No,No,,Completed Pass
List Dice 23,Counter,11,3,11:42,1,10,L,27,7,No,No,,Rush
Lieutenant Buzz 41 Back,Inside Zone,12,3,10:57,2,3,L,20,-10,No,Yes,Holding,Rush
Load I Z-Cruise Bulky North Rub,Rollout Pass,11,3,10:31,2,13,L,30,5,No,No,,QB Scramble
Lou Lally License,Pass,11,3,10:02,3,7,R,25,0,No,No,,Incomplete Pass
Load I Z-In 43 Paddle,Play Action Pass,11,3,5:14,1,10,L,-28,0,No,No,,Incomplete Pass
Rifle Aux 23 Lincoln Dribble North,Toss,11,3,5:08,2,10,L,-28,16,No,No,,Rush
Hawk Left 40 Q Visor B Lead,Visor,11,3,4:59,1,10,R,-44,6,No,No,,Rush
Rock A-Bluff 40 Bat Edge,Inside Zone,11,3,4:27,2,4,M,50,4,No,No,,Rush
Hawk Left 44 Beats Cuffs,Play Action Pass,11,3,3:38,1,10,R,46,14,No,No,,Completed Pass
Rifle Aux 40 Arc,Option,11,3,3:04,1,10,L,32,1,No,No,,QB Keep
List Dice 23,Counter,11,3,2:35,2,9,L,31,2,No,No,,Rush
List A-In 53 Frog,Pass,11,3,2:02,3,7,M,29,0,No,No,,Incomplete Pass
Rio 11 KO,Pass,10,3,1:49,4,7,M,29,3,No,No,,QB Scramble
Rio Y-Drift 41 Raft,Play Action Pass,11,4,15:00,1,10,L,-25,7,No,No,,Completed Pass
Lion Y-Drift 40 Bat,Inside Zone,11,4,14:53,2,3,R,-32,0,No,No,,Rush
Rich 44 Visor,Visor,11,4,14:09,3,3,M,-32,3,No,No,,Rush
Ranger Buzz 40 Back,Inside Zone,12,4,13:31,1,10,R,-35,16,No,No,,Rush
Rock F 22 Lincoln Bat,Counter,11,4,13:00,1,10,M,49,0,No,No,,Rush
Rain Weak Z-Motor Tsunami North B Lead,Option,12,4,12:11,2,10,R,49,1,No,No,,QB Keep
Lion 10 KO,Pass,10,4,11:34,3,9,R,48,-52,No,No,,Pick 6
Rain Strong Pez 42 Paddle,Play Action Pass,12,4,10:44,1,10,R,-4,16,No,No,,QB Scramble
Lieutenant Buzz 41 Back,Inside Zone,12,4,10:30,1,10,L,-20,3,No,No,,Rush
Lion Lally 18 Skippy,Pass,10,4,10:02,2,7,R,-23,0,No,No,,Incomplete Pass
Lion 10 Blade,Pass,10,4,9:27,3,7,R,-23,-3,No,No,,Sack
Lou Bell Hulk,RPO,11,4,3:46,1,10,L,-37,-6,No,No,,Sack
Bell,Pass,11,4,3:31,2,16,M,-31,7,No,No,,QB Scramble
Slick,Pass,11,4,3:05,3,9,R,-38,9,No,No,,QB Scramble
Lou Fist,Draw,11,4,2:37,1,10,L,-47,15,No,Yes,Def Personal Foul,Sack
Duff,Pass,11,4,2:19,1,10,L,40,0,No,No,,Interception
Load 41 Bat,Inside Zone,11,4,:51,1,10,L,-32,5,No,No,,Rush
Lou Fist,Draw,11,4,:39,2,5,L,-37,3,No,No,,Rush
ATL,Pass,11,4,:23,3,2,L,-40,12,No,No,,Completed Pass
Bell,Pass,11,4,:05,1,10,R,48,28,No,No,,Completed Pass